"seg.id","lulc","slope","dt","id","date","date.round","state","t.ar","rain"
1,3,1.69919870097069,NA,"tm10",2015-01-25 15:20:00,2015-01-25 15:00:00,"Foraging",30.3,0
2,3,1.69919870097069,NA,"tm10",2015-01-25 15:25:00,2015-01-25 15:00:00,"Foraging",30.3,0
2,3,0.586746762365228,300,"tm10",2015-01-25 15:25:00,2015-01-25 15:00:00,"Foraging",30.3,0
3,3,0.586746762365228,NA,"tm10",2015-01-25 15:31:00,2015-01-25 16:00:00,"Foraging",29.5,0
3,3,0.623713282415383,360,"tm10",2015-01-25 15:31:00,2015-01-25 16:00:00,"Foraging",29.5,0
4,3,0.623713282415383,NA,"tm10",2015-01-25 15:34:00,2015-01-25 16:00:00,"Transit",29.5,0
4,3,1.86593186777402,NA,"tm10",2015-01-25 15:34:00,2015-01-25 16:00:00,"Transit",29.5,0
4,3,4.58000539261759,NA,"tm10",2015-01-25 15:34:00,2015-01-25 16:00:00,"Transit",29.5,0
4,3,2.27731895560006,NA,"tm10",2015-01-25 15:34:00,2015-01-25 16:00:00,"Transit",29.5,0
4,3,3.54128724044141,NA,"tm10",2015-01-25 15:34:00,2015-01-25 16:00:00,"Transit",29.5,0
4,3,2.93973713462011,180,"tm10",2015-01-25 15:34:00,2015-01-25 16:00:00,"Transit",29.5,0
5,3,2.93973713462011,NA,"tm10",2015-01-25 16:56:00,2015-01-25 17:00:00,"Transit",23.3,7
5,3,1.31117514404729,NA,"tm10",2015-01-25 16:56:00,2015-01-25 17:00:00,"Transit",23.3,7
5,3,1.6840384537764,4920,"tm10",2015-01-25 16:56:00,2015-01-25 17:00:00,"Transit",23.3,7
6,3,1.6840384537764,NA,"tm10",2015-01-25 17:28:00,2015-01-25 17:00:00,"Foraging",23.3,7
6,3,2.8949517163047,1920,"tm10",2015-01-25 17:28:00,2015-01-25 17:00:00,"Foraging",23.3,7
7,3,2.8949517163047,NA,"tm10",2015-01-25 17:33:00,2015-01-25 18:00:00,"Foraging",23.5,0
7,3,3.29738491539841,NA,"tm10",2015-01-25 17:33:00,2015-01-25 18:00:00,"Foraging",23.5,0
7,3,6.16313516580817,300,"tm10",2015-01-25 17:33:00,2015-01-25 18:00:00,"Foraging",23.5,0
8,3,6.16313516580817,NA,"tm10",2015-01-25 17:38:00,2015-01-25 18:00:00,"Foraging",23.5,0
8,3,5.87113451970716,300,"tm10",2015-01-25 17:38:00,2015-01-25 18:00:00,"Foraging",23.5,0
9,3,5.87113451970716,NA,"tm10",2015-01-25 17:44:00,2015-01-25 18:00:00,"Foraging",23.5,0
9,3,3.27693649204093,NA,"tm10",2015-01-25 17:44:00,2015-01-25 18:00:00,"Foraging",23.5,0
9,3,4.73185393337532,360,"tm10",2015-01-25 17:44:00,2015-01-25 18:00:00,"Foraging",23.5,0
10,3,4.73185393337532,NA,"tm10",2015-01-25 17:47:00,2015-01-25 18:00:00,"Foraging",23.5,0
10,3,5.86822577844775,NA,"tm10",2015-01-25 17:47:00,2015-01-25 18:00:00,"Foraging",23.5,0
10,3,8.93079280469162,180,"tm10",2015-01-25 17:47:00,2015-01-25 18:00:00,"Foraging",23.5,0
11,3,8.93079280469162,NA,"tm10",2015-01-25 17:52:00,2015-01-25 18:00:00,"Foraging",23.5,0
11,3,5.87372971998994,300,"tm10",2015-01-25 17:52:00,2015-01-25 18:00:00,"Foraging",23.5,0
12,3,5.87372971998994,300,"tm10",2015-01-25 17:57:00,2015-01-25 18:00:00,"Foraging",23.5,0
13,3,5.87372971998994,NA,"tm10",2015-01-25 18:02:00,2015-01-25 18:00:00,"Foraging",23.5,0
13,3,8.93079280469162,300,"tm10",2015-01-25 18:02:00,2015-01-25 18:00:00,"Foraging",23.5,0
14,3,8.93079280469162,300,"tm10",2015-01-25 18:07:00,2015-01-25 18:00:00,"Burrow",23.5,0
15,3,8.93079280469162,300,"tm10",2015-01-25 18:12:00,2015-01-25 18:00:00,"Burrow",23.5,0
16,3,8.93079280469162,300,"tm10",2015-01-25 18:17:00,2015-01-25 18:00:00,"Burrow",23.5,0
17,3,8.93079280469162,300,"tm10",2015-01-25 18:22:00,2015-01-25 18:00:00,"Burrow",23.5,0
18,3,8.93079280469162,360,"tm10",2015-01-25 18:28:00,2015-01-25 18:00:00,"Burrow",23.5,0
19,3,8.93079280469162,180,"tm10",2015-01-25 18:31:00,2015-01-25 19:00:00,"Burrow",24.8,0.2
20,3,8.93079280469162,300,"tm10",2015-01-25 18:36:00,2015-01-25 19:00:00,"Burrow",24.8,0.2
21,3,8.93079280469162,300,"tm10",2015-01-25 18:41:00,2015-01-25 19:00:00,"Burrow",24.8,0.2
22,3,8.93079280469162,300,"tm10",2015-01-25 18:46:00,2015-01-25 19:00:00,"Burrow",24.8,0.2
23,3,8.93079280469162,NA,"tm10",2015-01-25 18:52:00,2015-01-25 19:00:00,"Foraging",24.8,0.2
23,3,5.87372971998994,360,"tm10",2015-01-25 18:52:00,2015-01-25 19:00:00,"Foraging",24.8,0.2
24,3,5.87372971998994,180,"tm10",2015-01-25 18:55:00,2015-01-25 19:00:00,"Foraging",24.8,0.2
25,3,5.87372971998994,NA,"tm10",2015-01-25 19:00:00,2015-01-25 19:00:00,"Foraging",24.8,0.2
25,3,8.93079280469162,300,"tm10",2015-01-25 19:00:00,2015-01-25 19:00:00,"Foraging",24.8,0.2
26,3,8.93079280469162,NA,"tm10",2015-01-25 19:05:00,2015-01-25 19:00:00,"Transit",24.8,0.2
26,3,5.86822577844775,NA,"tm10",2015-01-25 19:05:00,2015-01-25 19:00:00,"Transit",24.8,0.2
26,3,4.19841071470493,300,"tm10",2015-01-25 19:05:00,2015-01-25 19:00:00,"Transit",24.8,0.2
27,3,4.19841071470493,NA,"tm10",2015-01-25 19:10:00,2015-01-25 19:00:00,"Transit",24.8,0.2
27,3,2.96151661113875,NA,"tm10",2015-01-25 19:10:00,2015-01-25 19:00:00,"Transit",24.8,0.2
27,3,9.29980359228356,NA,"tm10",2015-01-25 19:10:00,2015-01-25 19:00:00,"Transit",24.8,0.2
27,3,5.19808555983513,NA,"tm10",2015-01-25 19:10:00,2015-01-25 19:00:00,"Transit",24.8,0.2
27,3,8.25128050338384,NA,"tm10",2015-01-25 19:10:00,2015-01-25 19:00:00,"Transit",24.8,0.2
27,3,6.46230974298628,300,"tm10",2015-01-25 19:10:00,2015-01-25 19:00:00,"Transit",24.8,0.2
28,3,6.46230974298628,NA,"tm10",2015-01-25 19:24:00,2015-01-25 19:00:00,"Transit",24.8,0.2
28,3,4.15830255835151,NA,"tm10",2015-01-25 19:24:00,2015-01-25 19:00:00,"Transit",24.8,0.2
28,3,5.19808555983513,840,"tm10",2015-01-25 19:24:00,2015-01-25 19:00:00,"Transit",24.8,0.2
29,3,5.19808555983513,300,"tm10",2015-01-25 19:29:00,2015-01-25 19:00:00,"Foraging",24.8,0.2
30,3,5.19808555983513,300,"tm10",2015-01-25 19:34:00,2015-01-25 20:00:00,"Foraging",24.2,0
31,3,5.19808555983513,300,"tm10",2015-01-25 19:39:00,2015-01-25 20:00:00,"Foraging",24.2,0
32,3,5.19808555983513,NA,"tm10",2015-01-25 19:44:00,2015-01-25 20:00:00,"Foraging",24.2,0
32,3,8.25128050338384,NA,"tm10",2015-01-25 19:44:00,2015-01-25 20:00:00,"Foraging",24.2,0
32,3,6.46230974298628,NA,"tm10",2015-01-25 19:44:00,2015-01-25 20:00:00,"Foraging",24.2,0
32,3,6.56637114274177,300,"tm10",2015-01-25 19:44:00,2015-01-25 20:00:00,"Foraging",24.2,0
33,3,6.56637114274177,NA,"tm10",2015-01-25 19:50:00,2015-01-25 20:00:00,"Foraging",24.2,0
33,3,6.46230974298628,NA,"tm10",2015-01-25 19:50:00,2015-01-25 20:00:00,"Foraging",24.2,0
33,3,8.25128050338384,NA,"tm10",2015-01-25 19:50:00,2015-01-25 20:00:00,"Foraging",24.2,0
33,3,5.19808555983513,360,"tm10",2015-01-25 19:50:00,2015-01-25 20:00:00,"Foraging",24.2,0
34,3,5.19808555983513,NA,"tm10",2015-01-25 19:53:00,2015-01-25 20:00:00,"Foraging",24.2,0
34,3,8.25128050338384,NA,"tm10",2015-01-25 19:53:00,2015-01-25 20:00:00,"Foraging",24.2,0
34,3,6.46230974298628,180,"tm10",2015-01-25 19:53:00,2015-01-25 20:00:00,"Foraging",24.2,0
35,3,6.46230974298628,300,"tm10",2015-01-25 19:58:00,2015-01-25 20:00:00,"Transit",24.2,0
36,3,6.46230974298628,NA,"tm10",2015-01-25 20:03:00,2015-01-25 20:00:00,"Transit",24.2,0
36,3,6.56637114274177,NA,"tm10",2015-01-25 20:03:00,2015-01-25 20:00:00,"Transit",24.2,0
36,3,5.73158967858546,300,"tm10",2015-01-25 20:03:00,2015-01-25 20:00:00,"Transit",24.2,0
37,3,5.73158967858546,NA,"tm10",2015-01-25 20:07:00,2015-01-25 20:00:00,"Transit",24.2,0
37,3,3.07984325699134,NA,"tm10",2015-01-25 20:07:00,2015-01-25 20:00:00,"Transit",24.2,0
37,3,1.12709375532476,240,"tm10",2015-01-25 20:07:00,2015-01-25 20:00:00,"Transit",24.2,0
38,3,1.12709375532476,NA,"tm10",2015-01-25 20:13:00,2015-01-25 20:00:00,"Transit",24.2,0
38,3,1.7073251576745,NA,"tm10",2015-01-25 20:13:00,2015-01-25 20:00:00,"Transit",24.2,0
38,3,2.53937289183783,360,"tm10",2015-01-25 20:13:00,2015-01-25 20:00:00,"Transit",24.2,0
39,3,2.53937289183783,NA,"tm10",2015-01-25 20:48:00,2015-01-25 21:00:00,"Transit",24.7,0
